"","nuts_2","nuts_1","country","trade_center","trade_center_1","trade_center_2","num_trade_centers","num_trade_centers_1","num_trade_centers_2","capital","education","catholics","latitude","longitude","mountain","border_region","university_1500","coast_region","printingpress_pre1500","hanse","imperial","agri","altitude","dist_border","dist_coast","dist_trade","east_germany","bishop","mining","eqi100","residence","trade_year","Region","GDP_1900","GDP_1910","GDP_1925","GDP_1938","GDP_1950","GDP_1960","GDP_1970","GDP_1980","GDP_1990","GDP_2000","GDP_2010","GDP_2015","GDP_11_1900","GDP_11_1910","GDP_11_1925","GDP_11_1938","GDP_11_1950","GDP_11_1960","GDP_11_1970","GDP_11_1980","GDP_11_1990","GDP_11_2000","GDP_11_2010","GDP_11_2015","AREA","POP_1900","POP_1910","POP_1925","POP_1938","POP_1950","POP_1960","POP_1970","POP_1980","POP_1990","POP_2000","POP_2010","POP_2015","AGSH_1900","AGSH_1910","AGSH_1925","AGSH_1938","AGSH_1950","AGSH_1960","AGSH_1970","AGSH_1980","AGSH_1990","AGSH_2000","AGSH_2010","AGSH_2015","INDSH_1900","INDSH_1910","INDSH_1925","INDSH_1938","INDSH_1950","INDSH_1960","INDSH_1970","INDSH_1980","INDSH_1990","INDSH_2000","INDSH_2010","INDSH_2015","SERSH_1900","SERSH_1910","SERSH_1925","SERSH_1938","SERSH_1950","SERSH_1960","SERSH_1970","SERSH_1980","SERSH_1990","SERSH_2000","SERSH_2010","SERSH_2015"
"1","AT11","AT1","Austria",0,0,0,0,0,0,0,15.1,70.513298034668,47.5082105000814,16.4922383626302,0,1,0,0,0,0,0,1.88166666858021,223.166669209798,0.125508718192577,2.9036869208018,0.693312247594198,0,0,0,90.620002746582,1,0,"Burgenland","457","545","520","582","636","1017",1540,2278,2879,3839,4652,4816,"497","594","563","675","782","1333",2137,2984,4095,6543,7818,9125,3962,"292","292","288","305","276","272",273,270,271,276,284,290,"0,766","0,742","0,686","0,638","0,631",0.503,0.288,0.153,0.087,0.078,0.055,"0,059","0,123","0,147","0,194","0,237","0,245",0.321,0.443,0.466,0.413,0.321,0.252,"0,257","0,111","0,112","0,12","0,125","0,123",0.176,0.269,0.38,0.5,0.601,0.693,"0,684"
"2","AT12+AT13","AT1","Austria",1,1,1,0.125,0.125,0.125,1,18.6875,70.513298034668,48.2306914329529,15.9105032682419,1,1,1,0,1,0,0,1.71674999007209,412.137495040894,0.440830109640956,3.23650321364403,0,0,1,0,84.5499982833862,1,8,"Lower Austria","10940","14072","14192","14720","13946","22612",34120,45757,58139,71434,85098,84643,"11913","15321","15371","17069","17159","29636",47336,59923,82707,121749,143030,160387,19601,"3080","3509","3362","3392","3017","3004",3039,2964,2962,3089,3303,3452,"0,233","0,208","0,198","0,19","0,215",0.158,0.107,0.07,0.05,0.049,0.037,"0,024","0,395","0,416","0,421","0,424","0,454",0.471,0.423,0.385,0.323,0.257,0.196,"0,175","0,372","0,375","0,381","0,386","0,331",0.371,0.47,0.545,0.627,0.695,0.767,"0,801"
"3","AT21","AT2","Austria",1,0,0,0.333333333333333,0,0,0,17.3,70.513298034668,46.7263209025065,13.9798091252645,1,1,0,0,0,0,0,1.09500000176393,799.133321126302,0.224680222570896,1.08139048020045,0,0,1,0,88.120002746582,0,6,"Carinthia","632","798","790","903","1243","2592",4293,6104,7349,9764,11298,11256,"688","869","855","1047","1529","3397",5956,7993,10454,16642,18989,21328,9538,"344","371","376","419","475","494",525,536,546,560,557,561,"0,635","0,574","0,531","0,498","0,375",0.267,0.146,0.086,0.06,0.064,0.064,"0,059","0,191","0,221","0,257","0,286","0,371",0.4,0.412,0.399,0.356,0.314,0.26,"0,235","0,175","0,205","0,212","0,216","0,253",0.333,0.443,0.515,0.584,0.622,0.676,"0,706"
"4","AT22","AT2","Austria",1,0,0,0.333333333333333,0,0,0,16.6,70.513298034668,47.2274824778239,15.0753939946493,1,1,0,0,0,0,0,1.31366666708102,721.183319091798,0.621018941203753,1.96369731426239,0,0,1,0,81.3499984741211,1,6,"Styria","1929","2292","2435","2953","3401","6265",9214,13346,15829,21085,25176,26205,"2100","2495","2638","3424","4184","8211",12783,17478,22518,35936,42316,49654,16401,"889","958","986","1028","1110","1137",1193,1188,1171,1183,1206,1228,"0,645","0,602","0,54","0,491","0,433",0.333,0.215,0.131,0.09,0.077,0.059,"0,066","0,194","0,219","0,255","0,284","0,359",0.394,0.42,0.423,0.382,0.345,0.289,"0,253","0,161","0,179","0,205","0,225","0,208",0.273,0.366,0.446,0.529,0.578,0.652,"0,682"
"5","AT31","AT3","Austria",1,1,0,0.2,0.2,0,0,16.5,70.513298034668,48.1311820983887,13.983486366272,1,1,0,0,0,0,0,1.54280001423709,825.039990234375,0.35951232612133,2.40560808181763,0,0,0,0,82.629997253418,0,13,"Upper Austria","1927","2288","2370","2758","3525","6928",11389,17060,21351,27820,33545,35164,"2098","2491","2567","3198","4337","9080",15801,22342,30373,47416,56381,66631,11980,"811","854","883","912","1109","1132",1225,1265,1304,1372,1410,1444,"0,58","0,555","0,521","0,494","0,392",0.299,0.192,0.116,0.077,0.065,0.059,"0,048","0,235","0,248","0,278","0,302","0,367",0.429,0.465,0.472,0.427,0.361,0.321,"0,311","0,185","0,196","0,201","0,204","0,241",0.272,0.344,0.412,0.496,0.574,0.62,"0,642"
"6","AT32","AT3","Austria",1,0,0,0.333333333333333,0,0,0,19.7,70.513298034668,47.4059092203776,13.2349650065104,1,1,0,0,0,0,0,1.13933333484089,1556.26664225261,0.292552461226781,1.66095300515493,0,0,1,0,82.0299987792969,0,6,"Salzburg","477","609","635","731","1003","2229",4219,6675,8799,12031,14662,15086,"520","664","687","848","1234","2922",5853,8742,12517,20505,24643,28586,7156,"193","215","226","255","327","347",400,439,476,514,527,541,"0,522","0,478","0,445","0,42","0,313",0.231,0.131,0.076,0.052,0.047,0.037,"0,043","0,214","0,239","0,256","0,27","0,381",0.364,0.363,0.349,0.31,0.283,0.247,"0,2","0,264","0,283","0,299","0,31","0,306",0.404,0.505,0.575,0.638,0.67,0.716,"0,757"
"7","AT33","AT3","Austria",1,0,1,0.2,0,0.2,0,17,70.513298034668,47.1817337036133,11.429856300354,1,1,0,0,0,0,0,1.05299999823869,1669.64001464844,0.204038810729981,2.08236885070801,0,0,0,0,87.6600036621094,0,6,"Tyrol","518","734","765","908","1241","2738",5218,8108,10504,14373,17629,18605,"565","799","829","1052","1527","3589",7239,10619,14943,24496,29631,35254,12640,"266","305","318","364","428","462",539,584,621,669,705,733,"0,635","0,561","0,476","0,412","0,365",0.263,0.127,0.067,0.043,0.046,0.049,"0,047","0,168","0,213","0,253","0,283","0,37",0.365,0.379,0.363,0.331,0.251,0.252,"0,222","0,197","0,226","0,271","0,305","0,266",0.372,0.494,0.57,0.626,0.703,0.699,"0,731"
"8","AT34","AT3","Austria",0,0,0,0,0,0,0,16.8,70.513298034668,47.2718086242676,9.84349536895752,1,1,0,0,0,0,0,1.27499999886606,1454.70001220703,0.125429015606642,2.9877700805664,0.542340576648712,0,0,0,86.1600036621094,0,0,"Vorarlberg","333","424","451","498","708","1526",2792,4545,5628,7532,9409,9746,"363","462","489","577","871","2001",3873,5953,8006,12837,15814,18468,2601,"129","145","142","162","194","224",273,304,327,349,369,381,"0,376","0,345","0,322","0,305","0,261",0.155,0.067,0.035,0.025,0.019,0.029,"0,027","0,461","0,464","0,454","0,445","0,508",0.563,0.586,0.549,0.489,0.436,0.356,"0,303","0,163","0,191","0,223","0,25","0,231",0.282,0.347,0.416,0.486,0.544,0.615,"0,67"
"9","BE10+BE24+BE31","BRU","Belgium",0,0,0,0,0,0,1,44.85,73.6669998168945,50.8117876052857,4.4978129863739,0,0,1,0,1,0,0,1.66200000066983,78.1249990463257,0.49574389308691,0.321398779749871,0.515691936016083,0,0,0,69.2500009536743,0,0,"Brabant","5184","6762","9000","10701","12938","19263",31569,42833,53603,69429,85727,80439,"8311","11497","11193","12476","16564","25317",46845,65239,73890,112299,140441,137819,3358,"1281","1470","1625","1767","1838","1978",2176,2219,2248,2336,2567,2475,"0,246","0,174","0,14","0,117","0,078",0.046,0.024,0.018,0.011,0.008,0.005,"0,025","0,371","0,42","0,391","0,379","0,418",0.408,0.377,0.252,0.165,0.141,0.109,"0,148","0,383","0,407","0,469","0,503","0,504",0.546,0.599,0.73,0.824,0.851,0.885,"0,827"
"10","BE21","BRU","Belgium",1,1,0,0.333333333333333,0.333333333333333,0,0,32,73.6669998168945,51.1952845255534,4.66450929641724,0,1,0,1,1,0,0,1.12733333659716,13.5666663646698,0.194770835340023,0.258319303393364,0,0,0,0,81.5500030517578,0,7,"Antwerp","2970","4115","5752","6798","7950","10768",18202,26195,30748,39088,47483,50710,"4761","6997","7153","7926","10178","14153",27010,39898,42385,63224,77789,86883,2867,"834","969","1118","1244","1314","1431",1533,1567,1604,1645,1755,1813,"0,258","0,176","0,156","0,137","0,094",0.055,0.027,0.022,0.018,0.016,0.011,"0,011","0,345","0,399","0,377","0,352","0,442",0.467,0.48,0.402,0.301,0.268,0.222,"0,199","0,398","0,425","0,467","0,51","0,464",0.478,0.492,0.577,0.682,0.716,0.767,"0,789"
